"Date","Price","Open","High","Low","Vol.","Change %"
"25-12-2023","21,390.00","21,464.50","21,494.00","21,385.50","4.30K","-0.02%"
"22-12-2023","21,395.00","21,435.50","21,505.50","21,294.00","84.65K","0.37%"
"21-12-2023","21,317.00","21,059.50","21,427.50","21,059.50","57.26K","0.47%"
"20-12-2023","21,217.00","21,574.00","21,692.50","21,037.50","67.45K","-1.44%"
"19-12-2023","21,528.00","21,482.50","21,629.00","21,423.00","29.00K","0.20%"
"18-12-2023","21,484.00","21,479.50","21,546.00","21,412.00","29.54K","-0.31%"
"15-12-2023","21,550.00","21,410.00","21,597.50","21,358.50","39.20K","0.98%"
"14-12-2023","21,340.00","21,251.50","21,449.00","21,184.00","45.79K","1.50%"
"13-12-2023","21,025.00","21,061.50","21,260.00","20,905.00","44.11K","0.00%"
"12-12-2023","21,025.00","21,112.50","21,150.00","20,962.00","31.70K","-0.31%"
"11-12-2023","21,091.00","21,109.00","21,145.00","21,042.50","29.11K","-0.01%"
"08-12-2023","21,093.00","21,104.00","21,123.50","20,962.00","37.46K","0.08%"
"07-12-2023","21,076.50","21,052.50","21,103.50","20,974.50","45.23K","-0.10%"
"06-12-2023","21,097.00","20,984.50","21,120.00","20,956.50","44.87K","0.46%"
"05-12-2023","20,999.50","20,857.50","21,020.00","20,801.00","50.40K","0.81%"
"04-12-2023","20,831.00","20,552.00","20,919.00","20,552.00","55.00K","2.35%"
"01-12-2023","20,353.00","20,307.00","20,497.50","20,307.00","38.03K","1.09%"
"30-11-2023","20,133.15","20,160.50","20,169.00","20,010.50","35.34K","-0.04%"
"29-11-2023","20,141.50","20,000.50","20,163.50","20,000.50","62.63K","0.87%"
"28-11-2023","19,967.50","19,868.00","20,026.50","19,832.00","96.37K","0.48%"
"27-11-2023","19,873.00","19,893.00","19,920.50","19,813.00","36.59K","0.22%"
"24-11-2023","19,829.00","19,831.50","19,908.00","19,805.00","33.58K","-0.24%"
"23-11-2023","19,877.50","19,902.50","19,927.00","19,833.50","32.09K","-0.06%"
"22-11-2023","19,889.00","19,847.50","19,923.00","19,760.00","35.72K","0.20%"
"21-11-2023","19,849.50","19,829.50","19,904.50","19,797.50","37.26K","0.54%"
"20-11-2023","19,742.00","19,852.00","19,852.00","19,714.00","39.26K","-0.30%"
"17-11-2023","19,802.00","19,843.50","19,864.00","19,745.50","38.08K","-0.09%"
"16-11-2023","19,820.00","19,763.00","19,935.00","19,699.00","51.44K","0.52%"
"15-11-2023","19,717.50","19,724.50","19,791.00","19,688.00","58.52K","0.82%"
"14-11-2023","19,557.50","19,533.50","19,756.00","19,531.50","14.35K","0.29%"
"13-11-2023","19,500.50","19,523.50","19,575.00","19,469.00","24.59K","-0.20%"
"12-11-2023","19,540.50","19,544.00","19,544.50","19,537.50","0.01K","0.26%"
"10-11-2023","19,489.50","19,392.00","19,609.50","19,354.00","31.28K","0.05%"
"09-11-2023","19,479.50","19,517.00","19,533.00","19,412.50","35.02K","-0.01%"
"08-11-2023","19,481.00","19,457.00","19,536.50","19,457.00","28.96K","0.12%"
"07-11-2023","19,458.00","19,457.00","19,510.00","19,412.50","33.74K","-0.11%"
"06-11-2023","19,478.50","19,458.50","19,535.00","19,383.50","41.07K","0.99%"
"03-11-2023","19,288.50","19,369.00","19,457.00","19,255.00","35.29K","0.34%"
"02-11-2023","19,223.50","19,191.00","19,374.00","19,129.50","42.52K","0.90%"
"01-11-2023","19,051.50","19,161.50","19,199.00","19,034.00","36.95K","-0.58%"
"31-10-2023","19,163.00","19,222.50","19,245.50","19,063.50","46.97K","-0.32%"
